No,Kota,Produk,Harga Satuan,Jumlah Pesanan,Tipe Pembayaran,Tipe Pengiriman,Rating Produk,Harga Total
2392,Yogyakarta,Kaos,40169,4,COD,Reguler,2.8,160676
2393,Denpasar,Tas Ransel,997362,2,ShopeePay,Kilat,1.2,1994724
2394,Makassar,Parfum,828036,4,ShopeePay,Same Day,1.8,3312144
2395,Semarang,Celana Jeans,371814,4,ShopeePay,Reguler,1.3,1487256
2396,Medan,Kemeja,396749,1,ShopeePay,Hemat,1.8,396749
2397,Medan,Celana Jeans,370882,4,Transfer Bank,Reguler,2.6,1483528
2398,Surabaya,Power Bank,413900,3,ShopeePay,Same Day,1.5,1241700
2399,Surabaya,Jam Tangan,672428,1,COD,Kilat,1.7,672428
2400,Medan,Earphone,122537,2,COD,Hemat,2.8,245074
2401,Semarang,Jam Tangan,790625,1,COD,Hemat,2.4,790625
2402,Medan,Jam Tangan,655589,3,COD,Kilat,2.9,1966767
2403,Makassar,Celana Jeans,290151,3,Transfer Bank,Same Day,2.7,870453
2404,Semarang,Power Bank,921347,4,Kartu Kredit,Reguler,3.6,3685388
2405,Surabaya,Earphone,251704,3,Kartu Kredit,Same Day,4.7,755112
2406,Jakarta,Earphone,137419,3,ShopeePay,Hemat,1.4,412257
2407,Yogyakarta,Jam Tangan,323931,3,ShopeePay,Reguler,1.4,971793
2408,Makassar,Tas Ransel,856014,3,COD,Reguler,4.4,2568042
2409,Makassar,Parfum,750151,2,COD,Kilat,3,1500302
2410,Denpasar,Power Bank,773158,2,Kartu Kredit,Same Day,4.1,1546316
2411,Surabaya,Tas Ransel,890061,1,Kartu Kredit,Reguler,1.9,890061
2412,Surabaya,Lipstik,812214,4,COD,Kilat,4.3,3248856
2413,Bandung,Lipstik,611058,2,ShopeePay,Same Day,4.7,1222116
2414,Makassar,Kaos,601933,3,Transfer Bank,Hemat,3.5,1805799
2415,Bandung,Jam Tangan,647797,4,Transfer Bank,Hemat,1.4,2591188
2416,Bandung,Earphone,250796,2,Kartu Kredit,Same Day,4.6,501592
2417,Yogyakarta,Celana Jeans,969500,1,Kartu Kredit,Reguler,4.2,969500
2418,Bandung,Earphone,835636,3,Kartu Kredit,Reguler,4,2506908
2419,Semarang,Earphone,561440,4,Transfer Bank,Hemat,1.1,2245760
2420,Medan,Kemeja,544154,2,Transfer Bank,Hemat,4.2,1088308
2421,Jakarta,Earphone,468402,4,COD,Reguler,1.6,1873608
2422,Surabaya,Kaos,783260,2,ShopeePay,Same Day,1.9,1566520
2423,Semarang,Tas Ransel,372699,1,Kartu Kredit,Hemat,3.3,372699
2424,Jakarta,Lipstik,236096,3,COD,Reguler,2.1,708288
2425,Makassar,Earphone,778019,1,Transfer Bank,Same Day,3.6,778019
2426,Makassar,Earphone,301833,3,COD,Kilat,3.4,905499
2427,Makassar,Kemeja,726050,3,Transfer Bank,Same Day,1.4,2178150
2428,Semarang,Power Bank,507258,4,ShopeePay,Reguler,3.6,2029032
2429,Semarang,Celana Jeans,365395,2,Transfer Bank,Same Day,4.7,730790
2430,Surabaya,Power Bank,208392,1,COD,Reguler,1.6,208392
2431,Medan,Celana Jeans,731451,1,ShopeePay,Hemat,3.4,731451
2432,Denpasar,Parfum,388709,1,Transfer Bank,Kilat,2.4,388709
2433,Bandung,Earphone,492517,4,Kartu Kredit,Hemat,2.8,1970068
2434,Makassar,Kemeja,959446,4,Transfer Bank,Hemat,2.1,3837784
2435,Yogyakarta,Sneakers,58712,4,ShopeePay,Reguler,2.4,234848
2436,Medan,Jam Tangan,801675,3,COD,Reguler,1.1,2405025
2437,Yogyakarta,Lipstik,256502,1,ShopeePay,Reguler,4.9,256502
2438,Surabaya,Tas Ransel,216349,3,COD,Reguler,3.5,649047
2439,Surabaya,Lipstik,331776,1,Transfer Bank,Hemat,3,331776
2440,Surabaya,Tas Ransel,975535,1,Transfer Bank,Reguler,2.5,975535
2441,Jakarta,Parfum,564766,2,ShopeePay,Reguler,3.2,1129532
2442,Yogyakarta,Power Bank,42551,1,Kartu Kredit,Hemat,2.5,42551
2443,Medan,Kaos,68068,4,Transfer Bank,Kilat,2.4,272272
2444,Denpasar,Earphone,113608,4,Kartu Kredit,Kilat,2.9,454432
2445,Medan,Sneakers,579849,4,Kartu Kredit,Same Day,2.1,2319396
2446,Semarang,Tas Ransel,153964,2,ShopeePay,Hemat,1.7,307928
2447,Semarang,Jam Tangan,306539,2,Transfer Bank,Reguler,3.2,613078
2448,Makassar,Tas Ransel,563044,3,Kartu Kredit,Same Day,4.4,1689132
2449,Denpasar,Kaos,267652,1,Transfer Bank,Kilat,1.6,267652
2450,Semarang,Lipstik,972155,1,COD,Kilat,1.1,972155
2451,Surabaya,Kemeja,271227,4,Kartu Kredit,Hemat,2,1084908
2452,Medan,Lipstik,348477,4,ShopeePay,Reguler,4.9,1393908
2453,Yogyakarta,Parfum,486961,4,ShopeePay,Reguler,4.3,1947844
2454,Surabaya,Kemeja,519755,4,Kartu Kredit,Same Day,3.4,2079020
2455,Jakarta,Lipstik,724666,4,Transfer Bank,Kilat,4.7,2898664
2456,Semarang,Jam Tangan,696706,4,COD,Same Day,2.8,2786824
2457,Surabaya,Lipstik,919993,1,COD,Same Day,4.9,919993
2458,Surabaya,Jam Tangan,834456,2,ShopeePay,Same Day,2.2,1668912
2459,Jakarta,Jam Tangan,770310,4,ShopeePay,Reguler,2,3081240
2460,Bandung,Kemeja,531984,1,Transfer Bank,Kilat,3.6,531984
2461,Medan,Power Bank,454034,4,ShopeePay,Same Day,2.5,1816136
2462,Yogyakarta,Celana Jeans,550235,3,Transfer Bank,Kilat,3.5,1650705
2463,Makassar,Earphone,499456,3,Kartu Kredit,Kilat,2.2,1498368
2464,Bandung,Tas Ransel,147192,1,COD,Same Day,3.5,147192
2465,Semarang,Celana Jeans,801879,2,Kartu Kredit,Same Day,2.1,1603758
2466,Surabaya,Kaos,900670,3,ShopeePay,Hemat,1.2,2702010
2467,Denpasar,Power Bank,349572,3,COD,Reguler,4.6,1048716
2468,Jakarta,Celana Jeans,967258,2,COD,Kilat,4.5,1934516
2469,Jakarta,Kemeja,345499,3,Kartu Kredit,Same Day,4.9,1036497
2470,Denpasar,Kaos,471457,4,Transfer Bank,Same Day,3.9,1885828
2471,Medan,Sneakers,482176,2,COD,Kilat,3.7,964352
2472,Bandung,Power Bank,936390,3,Transfer Bank,Same Day,3.2,2809170
2473,Makassar,Celana Jeans,802780,2,Kartu Kredit,Hemat,1.5,1605560
2474,Medan,Kaos,258826,4,Kartu Kredit,Kilat,1.8,1035304
2475,Denpasar,Sneakers,688778,3,Transfer Bank,Same Day,2.2,2066334
2476,Surabaya,Lipstik,770782,1,Kartu Kredit,Kilat,4.6,770782
2477,Denpasar,Kaos,775679,3,COD,Same Day,1.7,2327037
2478,Medan,Kemeja,501809,3,Kartu Kredit,Same Day,4.7,1505427
2479,Yogyakarta,Lipstik,206256,4,Kartu Kredit,Reguler,3.1,825024
2480,Jakarta,Kemeja,942337,1,COD,Kilat,3.9,942337
2481,Jakarta,Celana Jeans,789606,1,Transfer Bank,Reguler,1.4,789606
2482,Semarang,Earphone,192905,1,Kartu Kredit,Same Day,2.1,192905
2483,Semarang,Celana Jeans,413781,4,Transfer Bank,Kilat,4.8,1655124
2484,Denpasar,Lipstik,977684,4,COD,Kilat,2.1,3910736
2485,Makassar,Jam Tangan,38402,4,Transfer Bank,Hemat,2.2,153608
2486,Surabaya,Celana Jeans,193917,4,Transfer Bank,Hemat,1.8,775668
2487,Yogyakarta,Lipstik,620139,4,ShopeePay,Same Day,1.5,2480556
2488,Bandung,Kaos,32834,1,ShopeePay,Same Day,1.9,32834
2489,Medan,Parfum,612138,2,Kartu Kredit,Same Day,3.6,1224276
2490,Makassar,Celana Jeans,57180,4,ShopeePay,Same Day,2.8,228720
2491,Surabaya,Kaos,417099,2,ShopeePay,Hemat,3.2,834198
2492,Semarang,Kemeja,653976,3,ShopeePay,Kilat,1.5,1961928
2493,Denpasar,Power Bank,226659,3,Transfer Bank,Reguler,4.2,679977
2494,Medan,Earphone,388664,4,Transfer Bank,Kilat,4.1,1554656
2495,Semarang,Kemeja,818127,3,ShopeePay,Kilat,1.1,2454381
2496,Denpasar,Kemeja,147135,2,COD,Hemat,2.5,294270
2497,Medan,Lipstik,174195,3,ShopeePay,Kilat,1.3,522585
2498,Bandung,Jam Tangan,602769,3,COD,Kilat,4.2,1808307
2499,Surabaya,Tas Ransel,617726,2,Transfer Bank,Same Day,3.9,1235452
2500,Medan,Parfum,655779,3,COD,Reguler,4.6,1967337
2501,Yogyakarta,Jam Tangan,542741,4,Transfer Bank,Kilat,1.9,2170964
2502,Makassar,Lipstik,430789,2,COD,Kilat,2.8,861578
2503,Jakarta,Earphone,666132,2,Transfer Bank,Reguler,1.7,1332264
2504,Yogyakarta,Parfum,377054,1,Transfer Bank,Same Day,2.5,377054
2505,Yogyakarta,Parfum,76494,1,ShopeePay,Hemat,3.1,76494
2506,Makassar,Lipstik,425504,2,Kartu Kredit,Hemat,1.2,851008
2507,Jakarta,Sneakers,853410,2,Kartu Kredit,Kilat,3.9,1706820
2508,Yogyakarta,Kemeja,399989,1,Transfer Bank,Same Day,3.2,399989
2509,Medan,Power Bank,937053,4,ShopeePay,Hemat,4.3,3748212
2510,Medan,Sneakers,751455,3,Kartu Kredit,Hemat,2.1,2254365
2511,Medan,Lipstik,74672,3,Kartu Kredit,Hemat,4.6,224016
2512,Jakarta,Sneakers,606109,3,ShopeePay,Hemat,5,1818327
2513,Yogyakarta,Power Bank,890093,2,ShopeePay,Hemat,4.7,1780186
2514,Denpasar,Lipstik,89224,4,Kartu Kredit,Kilat,4.1,356896
2515,Jakarta,Lipstik,895837,1,Kartu Kredit,Hemat,4.2,895837
2516,Medan,Parfum,254745,4,COD,Kilat,3.3,1018980
2517,Makassar,Sneakers,74796,4,COD,Reguler,1.8,299184
2518,Yogyakarta,Kaos,457922,3,Transfer Bank,Reguler,3.7,1373766
2519,Yogyakarta,Celana Jeans,672842,1,Kartu Kredit,Same Day,3.9,672842
2520,Semarang,Lipstik,405921,4,ShopeePay,Kilat,4.9,1623684
2521,Semarang,Sneakers,286167,1,ShopeePay,Same Day,3.2,286167
2522,Bandung,Tas Ransel,789646,2,Kartu Kredit,Reguler,2.1,1579292
2523,Denpasar,Earphone,757996,3,Transfer Bank,Reguler,3.7,2273988
2524,Denpasar,Tas Ransel,187807,1,ShopeePay,Reguler,4.9,187807
2525,Surabaya,Sneakers,879391,2,Kartu Kredit,Reguler,1.7,1758782
2526,Denpasar,Kemeja,583506,2,Kartu Kredit,Hemat,2.3,1167012
2527,Semarang,Kemeja,949717,2,Transfer Bank,Reguler,3.2,1899434
2528,Jakarta,Sneakers,514735,4,Kartu Kredit,Hemat,1.7,2058940
2529,Denpasar,Parfum,535729,4,ShopeePay,Hemat,1.1,2142916
2530,Semarang,Parfum,249766,3,COD,Same Day,2.3,749298
2531,Bandung,Lipstik,834892,3,Transfer Bank,Hemat,4.5,2504676
2532,Yogyakarta,Power Bank,931011,2,Kartu Kredit,Same Day,1.2,1862022
2533,Denpasar,Celana Jeans,871112,3,Transfer Bank,Hemat,2.7,2613336
2534,Bandung,Lipstik,51017,4,Kartu Kredit,Hemat,4,204068
2535,Yogyakarta,Tas Ransel,374182,3,COD,Reguler,4.8,1122546
2536,Makassar,Celana Jeans,968494,1,Transfer Bank,Kilat,4.9,968494
2537,Makassar,Tas Ransel,563803,4,Kartu Kredit,Hemat,2.7,2255212
2538,Yogyakarta,Parfum,443207,2,COD,Kilat,4.8,886414
2539,Denpasar,Sneakers,420850,2,ShopeePay,Kilat,1.1,841700
2540,Surabaya,Power Bank,228106,3,Kartu Kredit,Kilat,4,684318
2541,Semarang,Tas Ransel,966881,4,COD,Hemat,3.6,3867524
2542,Jakarta,Parfum,839433,2,COD,Kilat,2,1678866
2543,Jakarta,Power Bank,545679,2,Transfer Bank,Hemat,3,1091358
2544,Medan,Lipstik,740566,4,Kartu Kredit,Reguler,1.5,2962264
2545,Yogyakarta,Sneakers,653676,4,ShopeePay,Hemat,4.5,2614704
2546,Jakarta,Earphone,324359,2,Kartu Kredit,Same Day,2.4,648718
2547,Denpasar,Kemeja,624008,3,COD,Reguler,3.5,1872024
2548,Surabaya,Jam Tangan,309258,3,ShopeePay,Kilat,1.6,927774
2549,Yogyakarta,Power Bank,687242,3,COD,Kilat,1.8,2061726
2550,Surabaya,Earphone,919574,1,Transfer Bank,Same Day,5,919574
2551,Denpasar,Earphone,692633,4,Kartu Kredit,Reguler,4,2770532
2552,Jakarta,Power Bank,388350,2,COD,Same Day,4.8,776700
2553,Jakarta,Earphone,589935,1,COD,Kilat,2.2,589935
2554,Medan,Tas Ransel,495881,3,Kartu Kredit,Hemat,1.7,1487643
2555,Jakarta,Earphone,740252,1,ShopeePay,Kilat,3,740252
2556,Yogyakarta,Parfum,586967,2,COD,Same Day,3,1173934
2557,Denpasar,Celana Jeans,282571,2,Kartu Kredit,Hemat,1.7,565142
2558,Makassar,Tas Ransel,772312,4,Transfer Bank,Hemat,3.9,3089248
2559,Denpasar,Earphone,936101,3,Transfer Bank,Kilat,2.4,2808303
2560,Yogyakarta,Lipstik,610555,3,Kartu Kredit,Hemat,1.7,1831665
2561,Yogyakarta,Kemeja,20799,1,COD,Reguler,2.3,20799
2562,Medan,Sneakers,337803,3,Kartu Kredit,Kilat,3.3,1013409
2563,Medan,Earphone,507625,1,Kartu Kredit,Kilat,3.9,507625
2564,Jakarta,Kaos,551313,2,COD,Reguler,2.9,1102626
2565,Bandung,Kemeja,558769,2,ShopeePay,Kilat,3.1,1117538
2566,Denpasar,Lipstik,307555,2,ShopeePay,Same Day,1.6,615110
2567,Denpasar,Parfum,772254,2,Transfer Bank,Same Day,4.7,1544508
2568,Bandung,Earphone,650216,2,ShopeePay,Kilat,4.7,1300432
2569,Medan,Parfum,667302,1,Kartu Kredit,Reguler,3.7,667302
2570,Jakarta,Earphone,428177,2,COD,Hemat,1.1,856354
2571,Bandung,Jam Tangan,434983,1,Transfer Bank,Reguler,3.1,434983
2572,Jakarta,Celana Jeans,534111,2,ShopeePay,Same Day,3.5,1068222
2573,Jakarta,Parfum,71690,1,Kartu Kredit,Kilat,5,71690
2574,Jakarta,Celana Jeans,597158,1,Transfer Bank,Reguler,5,597158
2575,Semarang,Kemeja,711495,1,COD,Hemat,4.4,711495
2576,Yogyakarta,Jam Tangan,106928,3,ShopeePay,Hemat,1.3,320784
2577,Jakarta,Sneakers,541921,1,Kartu Kredit,Hemat,4.8,541921
2578,Semarang,Tas Ransel,754158,1,COD,Hemat,3.5,754158
2579,Medan,Celana Jeans,615053,2,Kartu Kredit,Reguler,4.2,1230106
2580,Bandung,Jam Tangan,305916,1,Kartu Kredit,Hemat,2.6,305916
2581,Yogyakarta,Celana Jeans,936849,1,Kartu Kredit,Same Day,2.3,936849
2582,Makassar,Power Bank,825231,4,COD,Hemat,2.9,3300924
2583,Bandung,Lipstik,394195,3,Transfer Bank,Same Day,1.6,1182585
2584,Yogyakarta,Sneakers,674229,4,Kartu Kredit,Reguler,2.4,2696916
2585,Makassar,Lipstik,43555,2,Transfer Bank,Same Day,4.4,87110
2586,Bandung,Earphone,898584,3,Transfer Bank,Reguler,1.2,2695752
2587,Yogyakarta,Celana Jeans,409363,3,ShopeePay,Hemat,1.6,1228089
2588,Bandung,Earphone,956837,4,ShopeePay,Kilat,1.5,3827348
2589,Bandung,Kaos,417477,3,Transfer Bank,Same Day,2.6,1252431
2590,Makassar,Celana Jeans,401977,4,ShopeePay,Same Day,5,1607908
2591,Bandung,Jam Tangan,875434,1,ShopeePay,Kilat,1.7,875434
2592,Bandung,Sneakers,328697,4,Transfer Bank,Reguler,1.6,1314788
2593,Makassar,Earphone,285232,3,COD,Reguler,4.7,855696
2594,Medan,Celana Jeans,590071,3,ShopeePay,Hemat,4.5,1770213
2595,Jakarta,Kaos,545403,2,ShopeePay,Same Day,1.1,1090806
2596,Denpasar,Lipstik,743486,2,COD,Reguler,4,1486972
2597,Surabaya,Jam Tangan,92908,2,COD,Hemat,3.6,185816
2598,Semarang,Power Bank,613397,2,COD,Reguler,4.1,1226794
2599,Surabaya,Celana Jeans,809410,3,Transfer Bank,Kilat,3,2428230
2600,Surabaya,Power Bank,391087,2,COD,Kilat,5,782174
2601,Yogyakarta,Kemeja,29422,4,Transfer Bank,Kilat,1.2,117688
2602,Jakarta,Sneakers,194698,1,Kartu Kredit,Hemat,1.9,194698
2603,Yogyakarta,Celana Jeans,633521,3,Kartu Kredit,Same Day,2.6,1900563
2604,Jakarta,Parfum,862606,2,COD,Kilat,2.8,1725212
2605,Makassar,Kaos,509572,3,COD,Kilat,4.7,1528716
2606,Makassar,Earphone,57743,2,Kartu Kredit,Reguler,3.2,115486
2607,Denpasar,Parfum,745821,3,Transfer Bank,Kilat,1.2,2237463
2608,Jakarta,Kemeja,470415,2,Transfer Bank,Same Day,2.6,940830
2609,Bandung,Sneakers,412432,1,COD,Hemat,2.7,412432
2610,Medan,Lipstik,673288,2,COD,Kilat,4.9,1346576
2611,Denpasar,Jam Tangan,404922,4,COD,Hemat,3.4,1619688
2612,Denpasar,Power Bank,573718,3,Kartu Kredit,Hemat,3.5,1721154
2613,Bandung,Kemeja,48834,3,ShopeePay,Same Day,3.9,146502
2614,Medan,Earphone,568723,4,COD,Reguler,4.1,2274892
2615,Yogyakarta,Jam Tangan,107212,4,Transfer Bank,Reguler,3.5,428848
2616,Medan,Lipstik,600085,1,ShopeePay,Hemat,1.9,600085
2617,Yogyakarta,Earphone,456770,3,Transfer Bank,Kilat,4.5,1370310
2618,Makassar,Kaos,598843,1,ShopeePay,Hemat,3.9,598843
2619,Surabaya,Power Bank,105350,3,Kartu Kredit,Reguler,4,316050
2620,Makassar,Parfum,34716,3,ShopeePay,Kilat,5,104148
2621,Makassar,Celana Jeans,80261,1,Transfer Bank,Reguler,4.2,80261
2622,Surabaya,Kemeja,965032,3,ShopeePay,Same Day,4.3,2895096
2623,Medan,Celana Jeans,808427,3,Kartu Kredit,Reguler,4.8,2425281
2624,Denpasar,Jam Tangan,566702,1,Transfer Bank,Kilat,1.6,566702
2625,Medan,Celana Jeans,689204,2,COD,Kilat,3,1378408
2626,Yogyakarta,Parfum,712019,1,ShopeePay,Hemat,3.3,712019
2627,Bandung,Tas Ransel,35522,3,Transfer Bank,Kilat,2.3,106566
2628,Yogyakarta,Jam Tangan,518665,4,ShopeePay,Same Day,4.4,2074660
2629,Bandung,Power Bank,411776,2,Kartu Kredit,Reguler,4,823552
2630,Makassar,Earphone,880466,4,Transfer Bank,Hemat,3.9,3521864
2631,Surabaya,Power Bank,848754,2,COD,Hemat,5,1697508
2632,Makassar,Celana Jeans,349782,4,COD,Kilat,2,1399128
2633,Jakarta,Sneakers,907766,2,ShopeePay,Same Day,3.9,1815532
2634,Medan,Jam Tangan,683884,1,Kartu Kredit,Hemat,3.2,683884
2635,Bandung,Earphone,575134,2,Kartu Kredit,Same Day,2.3,1150268
2636,Yogyakarta,Lipstik,880075,2,ShopeePay,Same Day,1.6,1760150
2637,Surabaya,Kaos,997600,2,Transfer Bank,Reguler,4.6,1995200
2638,Bandung,Power Bank,659218,3,Transfer Bank,Reguler,3.4,1977654
2639,Yogyakarta,Power Bank,985207,4,ShopeePay,Reguler,4.3,3940828
2640,Medan,Jam Tangan,306543,1,Transfer Bank,Same Day,3.2,306543
2641,Makassar,Sneakers,750520,4,Transfer Bank,Reguler,1.9,3002080
2642,Medan,Celana Jeans,243734,4,Transfer Bank,Hemat,2.4,974936
2643,Semarang,Celana Jeans,764027,1,ShopeePay,Hemat,2.5,764027
2644,Jakarta,Jam Tangan,143182,3,COD,Kilat,4.9,429546
2645,Semarang,Power Bank,68591,2,Kartu Kredit,Same Day,1,137182
2646,Surabaya,Earphone,171786,3,COD,Reguler,4.9,515358
2647,Bandung,Kaos,318021,3,Transfer Bank,Hemat,4.9,954063
2648,Surabaya,Jam Tangan,104106,2,ShopeePay,Same Day,5,208212
2649,Makassar,Earphone,622306,4,Kartu Kredit,Same Day,2.9,2489224
2650,Yogyakarta,Earphone,381998,2,Transfer Bank,Reguler,4.9,763996
2651,Medan,Lipstik,996640,1,Kartu Kredit,Same Day,2.6,996640
2652,Semarang,Parfum,184486,2,Kartu Kredit,Reguler,1.1,368972
2653,Denpasar,Tas Ransel,665120,4,COD,Reguler,1.9,2660480
2654,Semarang,Kaos,630864,3,Transfer Bank,Reguler,4.8,1892592
2655,Makassar,Kemeja,754303,3,Kartu Kredit,Same Day,1.1,2262909
2656,Semarang,Sneakers,798952,2,COD,Same Day,3.2,1597904
2657,Makassar,Tas Ransel,720828,1,ShopeePay,Reguler,1.3,720828
2658,Denpasar,Lipstik,755062,4,Kartu Kredit,Same Day,2.1,3020248
2659,Surabaya,Kaos,747468,3,Transfer Bank,Reguler,1.4,2242404
2660,Medan,Celana Jeans,112508,2,ShopeePay,Kilat,4.4,225016
2661,Bandung,Tas Ransel,328979,1,Kartu Kredit,Same Day,3.4,328979
2662,Yogyakarta,Celana Jeans,738693,1,Kartu Kredit,Same Day,4.6,738693
2663,Bandung,Sneakers,586752,3,Transfer Bank,Kilat,3.8,1760256
2664,Surabaya,Celana Jeans,918886,3,Kartu Kredit,Kilat,4.9,2756658
2665,Yogyakarta,Sneakers,698283,4,Transfer Bank,Kilat,3,2793132
2666,Semarang,Kaos,136062,1,Transfer Bank,Reguler,3.6,136062
2667,Denpasar,Power Bank,999359,4,Transfer Bank,Reguler,3.3,3997436
2668,Denpasar,Sneakers,873877,1,Transfer Bank,Hemat,2.9,873877
2669,Jakarta,Earphone,392598,1,Kartu Kredit,Kilat,4.4,392598
2670,Surabaya,Kemeja,928338,2,ShopeePay,Hemat,3.6,1856676
2671,Surabaya,Kemeja,642672,3,ShopeePay,Reguler,4.2,1928016
2672,Medan,Jam Tangan,742979,1,COD,Same Day,4.1,742979
2673,Bandung,Kemeja,721506,4,Transfer Bank,Kilat,1.8,2886024
2674,Surabaya,Jam Tangan,342176,3,Kartu Kredit,Same Day,3.6,1026528
2675,Surabaya,Kemeja,395665,4,Kartu Kredit,Reguler,1.8,1582660
2676,Semarang,Sneakers,922810,3,COD,Kilat,3.3,2768430
2677,Semarang,Earphone,561428,3,ShopeePay,Hemat,3.7,1684284
2678,Yogyakarta,Power Bank,284814,1,Kartu Kredit,Hemat,5,284814
2679,Makassar,Celana Jeans,318663,2,COD,Reguler,1.1,637326
2680,Makassar,Lipstik,588800,1,ShopeePay,Same Day,1.4,588800
2681,Jakarta,Kemeja,995315,3,Kartu Kredit,Reguler,1.3,2985945
2682,Makassar,Power Bank,123565,1,Transfer Bank,Same Day,2.6,123565
2683,Medan,Power Bank,690051,1,COD,Reguler,4.3,690051
2684,Jakarta,Sneakers,911588,3,Kartu Kredit,Hemat,4.4,2734764
2685,Yogyakarta,Kaos,709622,3,COD,Same Day,3.9,2128866
2686,Semarang,Kaos,205964,1,COD,Reguler,4.6,205964
2687,Makassar,Kemeja,569883,1,COD,Kilat,2.3,569883
2688,Bandung,Lipstik,208279,1,Transfer Bank,Hemat,1.4,208279
2689,Semarang,Kemeja,266661,4,ShopeePay,Hemat,1.2,1066644
2690,Denpasar,Kemeja,184512,1,ShopeePay,Kilat,4.4,184512
2691,Medan,Jam Tangan,290774,4,Kartu Kredit,Reguler,3.9,1163096
2692,Semarang,Earphone,444466,2,Transfer Bank,Same Day,3.8,888932
2693,Medan,Earphone,280300,4,ShopeePay,Hemat,2.4,1121200
2694,Medan,Lipstik,259644,1,Kartu Kredit,Reguler,2.5,259644
2695,Medan,Jam Tangan,774108,2,Kartu Kredit,Kilat,4.8,1548216
2696,Yogyakarta,Power Bank,913893,4,COD,Same Day,1.3,3655572
2697,Medan,Jam Tangan,752878,4,Transfer Bank,Reguler,4.1,3011512
2698,Medan,Kemeja,94191,3,ShopeePay,Reguler,2.2,282573
2699,Denpasar,Kaos,120591,2,Transfer Bank,Hemat,1.2,241182
2700,Bandung,Tas Ransel,608041,3,Transfer Bank,Hemat,4,1824123
2701,Jakarta,Lipstik,523477,2,ShopeePay,Same Day,2.3,1046954
2702,Surabaya,Power Bank,604808,4,ShopeePay,Reguler,3.9,2419232
2703,Denpasar,Sneakers,286152,3,Transfer Bank,Kilat,3.8,858456
2704,Jakarta,Tas Ransel,457680,1,Kartu Kredit,Kilat,3.1,457680
2705,Medan,Tas Ransel,389552,4,Transfer Bank,Same Day,4.1,1558208
2706,Bandung,Jam Tangan,282640,2,ShopeePay,Reguler,3.3,565280
2707,Semarang,Celana Jeans,381911,2,Transfer Bank,Hemat,2.1,763822
2708,Bandung,Tas Ransel,305356,3,ShopeePay,Reguler,3.9,916068
2709,Denpasar,Kemeja,827069,3,Kartu Kredit,Hemat,3.4,2481207
2710,Medan,Parfum,851659,2,Transfer Bank,Kilat,1.1,1703318
2711,Bandung,Kaos,495629,4,Kartu Kredit,Same Day,4.6,1982516
2712,Makassar,Kaos,926185,3,Transfer Bank,Same Day,3.2,2778555
2713,Bandung,Parfum,140118,1,Transfer Bank,Same Day,4.5,140118
2714,Medan,Earphone,758706,2,ShopeePay,Hemat,4.5,1517412
2715,Yogyakarta,Kemeja,292028,1,COD,Kilat,2.8,292028
2716,Makassar,Sneakers,136481,2,ShopeePay,Kilat,3,272962
2717,Bandung,Tas Ransel,88259,1,Transfer Bank,Same Day,2.7,88259
2718,Surabaya,Earphone,69810,4,COD,Same Day,2.8,279240
2719,Surabaya,Kemeja,149926,2,COD,Hemat,4.6,299852
2720,Bandung,Jam Tangan,549049,4,Kartu Kredit,Hemat,4.2,2196196
2721,Yogyakarta,Kaos,802702,3,Transfer Bank,Reguler,1.5,2408106
2722,Semarang,Earphone,36375,2,ShopeePay,Hemat,3.4,72750
2723,Medan,Lipstik,258117,4,COD,Reguler,5,1032468
2724,Surabaya,Tas Ransel,962722,1,COD,Same Day,3.4,962722
2725,Semarang,Tas Ransel,181637,4,ShopeePay,Kilat,4.1,726548
2726,Bandung,Sneakers,122654,2,ShopeePay,Hemat,4.1,245308
2727,Denpasar,Celana Jeans,839407,4,COD,Kilat,2.4,3357628
2728,Semarang,Lipstik,702433,1,ShopeePay,Hemat,2.5,702433
2729,Makassar,Tas Ransel,220798,1,Kartu Kredit,Hemat,3.9,220798
2730,Jakarta,Power Bank,152955,1,COD,Reguler,3,152955
2731,Surabaya,Lipstik,724989,3,Kartu Kredit,Hemat,3.3,2174967
2732,Bandung,Tas Ransel,739530,2,Transfer Bank,Same Day,3.9,1479060
2733,Denpasar,Parfum,94489,1,Kartu Kredit,Kilat,4.1,94489
2734,Medan,Lipstik,552669,3,ShopeePay,Hemat,2.1,1658007
2735,Denpasar,Kemeja,960742,1,COD,Kilat,1.6,960742
2736,Yogyakarta,Lipstik,164867,4,Kartu Kredit,Kilat,2.2,659468
2737,Makassar,Sneakers,82999,2,ShopeePay,Kilat,3,165998
2738,Bandung,Jam Tangan,332051,4,ShopeePay,Hemat,2.4,1328204
2739,Medan,Jam Tangan,947142,3,Kartu Kredit,Reguler,3.3,2841426
2740,Yogyakarta,Jam Tangan,876899,4,COD,Kilat,1.2,3507596
2741,Yogyakarta,Kemeja,849055,4,Kartu Kredit,Kilat,3,3396220
2742,Bandung,Earphone,713852,1,Transfer Bank,Hemat,2.5,713852
2743,Makassar,Jam Tangan,439627,4,Kartu Kredit,Hemat,3.1,1758508
2744,Semarang,Kaos,917156,1,Kartu Kredit,Same Day,2.7,917156
2745,Semarang,Kemeja,171606,1,COD,Same Day,2.1,171606
2746,Yogyakarta,Earphone,442397,2,Kartu Kredit,Reguler,4.6,884794
2747,Semarang,Kaos,385213,3,ShopeePay,Reguler,1.7,1155639
